row	seed	threads	draw	outcome	moves	passes	time	fringe	closed	mvtree
1	1	16	3	0	97	3	0.08015	148431	226061	80937
2	2	16	3	0	125	7	0.07553	141323	345087	213684
3	3	16	3	0	97	3	0.2655	1341415	2290459	889739
4	4	16	3	0	92	3	0.6118	2888718	5173303	2150666
5	5	16	3	0	104	4	0.8292	2119486	5445807	2668630
6	6	16	3	2			0.04697	0	79051	47804
7	7	16	3	2			0.04903	0	5946	3607
8	8	16	3	0	112	6	0.04797	10929	53059	28335
9	9	16	3	0	99	3	0.3881	752157	2362191	1310155
10	10	16	3	0	107	5	0.2629	389785	1488948	803809
11	11	16	3	0	111	4	6.243	10921905	30398967	15113177
12	12	16	3	0	100	4	0.1122	338586	766704	381455
13	13	16	3	2			0.04708	0	120208	73509
14	14	16	3	0	88	2	0.3968	2052248	3559767	1364223
15	15	16	3	0	92	2	0.835	3013753	5928620	2671230
16	16	16	3	0	106	4	0.06007	96756	311665	163010
17	17	16	3	0	107	3	0.04707	109599	248921	125776
18	18	16	3	0	97	2	0.4058	681408	2413466	1311817
19	19	16	3	2			0.04785	0	49	32
20	20	16	3	0	97	3	1.835	5609246	12296106	5587439
21	21	16	3	0	96	2	0.05976	149185	341791	156696
22	22	16	3	0	88	3	0.04715	60704	124457	54233
23	23	16	3	0	101	5	1.574	3518959	9134808	4282703
24	24	16	3	0	98	3	11.02	24911069	57652913	27194039
25	25	16	3	0	97	3	0.0474	129296	253127	111846
26	26	16	3	0	106	4	0.1837	101968	891931	517555
27	27	16	3	0	101	5	0.2398	824030	1719772	819265
28	28	16	3	2			2.855	0	11341964	6775083
29	29	16	3	0	111	5	0.1239	51241	549673	320822
30	30	16	3	0	121	6	0.1019	134645	518483	287535
31	31	16	3	2			0.04701	0	11979	7478
32	32	16	3	0	101	3	0.2965	753115	1901692	950848
33	33	16	3	2			0.04695	0	0	0
34	34	16	3	2			0.04699	0	74	36
35	35	16	3	0	100	4	1.843	2745794	9583046	4915663
36	36	16	3	2			0.04881	0	25	13
37	37	16	3	0	98	3	0.1108	399333	800448	348928
38	38	16	3	0	102	4	0.1412	212848	758420	363880
39	39	16	3	0	98	3	0.1879	492644	1203209	588291
40	40	16	3	0	114	4	0.4858	812872	2951325	1467686
41	41	16	3	0	89	3	0.2654	1361180	2242455	806394
42	42	16	3	0	102	3	0.324	810514	2084693	1040371
43	43	16	3	0	90	3	0.1427	530417	1018626	441781
44	44	16	3	0	96	3	0.1636	281848	929543	536404
45	45	16	3	0	104	4	0.1168	290663	732801	398481
46	46	16	3	0	95	3	0.08265	299945	579302	247680
47	47	16	3	0	107	5	0.1585	309338	942377	468192
48	48	16	3	0	99	3	0.2679	868906	1860297	812194
49	49	16	3	0	95	3	0.3372	988488	2283977	1098417
50	50	16	3	0	100	4	0.2217	551123	1431364	717351
51	51	16	3	0	102	4	2.478	3150804	12560363	6645979
52	52	16	3	0	83	2	0.07952	341398	601011	236357
53	53	16	3	2			0.0469	0	0	0
54	54	16	3	2			2.493	0	10020692	5729662
55	55	16	3	0	98	3	0.5365	995855	3253882	1661880
56	56	16	3	0	90	3	0.04694	28832	110869	54896
57	57	16	3	0	101	5	0.05106	51100	216157	116022
58	58	16	3	2			0.04693	0	28746	17466
59	59	16	3	0	107	4	0.08216	126949	427761	220301
60	60	16	3	0	95	3	0.608	1592739	3778522	1855544
61	61	16	3	0	90	3	1.415	4279047	9029296	4113094
62	62	16	3	0	99	4	0.07042	230929	461976	205338
63	63	16	3	0	109	5	0.1514	232927	818964	428433
64	64	16	3	2			0.04692	0	0	0
65	65	16	3	0	101	4	0.04743	87532	186507	82558
66	66	16	3	2			0.9286	0	4037664	2481816
67	67	16	3	0	98	3	0.07644	192750	459824	228615
