row	seed	threads	draw	outcome	moves	passes	time	fringe	advances	mvtree
1	1	16	3	0	97	3	0.05972	148131	86747	81392
2	2	16	3	0	125	7	0.07466	141949	215100	213527
3	3	16	3	0	97	3	0.2949	1343251	1026761	890959
4	4	16	3	0	92	3	0.6682	2875776	2423006	2139196
5	5	16	3	0	104	4	0.8939	2119762	3558736	2668427
6	6	16	3	2			0.03172	0	81133	47961
7	7	16	3	2			0.008064	0	6204	3606
8	8	16	3	0	112	6	0.02448	10985	43605	28883
9	9	16	3	0	99	3	0.4162	752072	1714072	1311180
10	10	16	3	0	107	5	0.285	389744	1145839	805862
11	11	16	3	0	111	4	6.268	10921574	20763322	15106095
12	12	16	3	0	100	4	0.1347	338532	458723	381399
13	13	16	3	2			0.04819	0	123041	73478
14	14	16	3	0	88	2	0.3455	1150801	1349800	968799
15	15	16	3	0	92	2	0.8901	3014054	3382481	2670982
16	16	16	3	0	106	4	0.07539	96689	229829	163219
17	17	16	3	0	107	3	0.06026	110280	148236	127023
18	18	16	3	0	97	2	0.4416	681255	1786238	1312506
19	19	16	3	2			0.004516	0	54	32
20	20	16	3	0	97	3	1.924	5610775	7090961	5586750
21	21	16	3	0	96	2	0.0747	149458	201663	157332
22	22	16	3	0	88	3	0.03784	60339	67033	54345
23	23	16	3	0	101	5	1.688	3520046	6233348	4281988
24	24	16	3	0	98	3	10.37	24217593	35086611	26155198
25	25	16	3	0	97	3	0.05513	128698	129531	111540
26	26	16	3	0	106	4	0.2035	101985	840033	517581
27	27	16	3	0	101	5	0.2645	824081	970079	819030
28	28	16	3	2			2.965	0	11820245	6777331
29	29	16	3	0	111	5	0.1394	51238	526539	321567
30	30	16	3	0	121	6	0.1194	133012	395026	286807
31	31	16	3	2			0.01096	0	12608	7484
32	32	16	3	0	101	3	0.3338	753180	1232012	951109
33	33	16	3	2			0.003719	0	1	0
34	34	16	3	2			0.004095	0	76	42
35	35	16	3	0	100	4	1.962	2745477	7287203	4918906
36	36	16	3	2			0.004214	0	26	12
37	37	16	3	0	98	3	0.1239	398919	416129	348456
38	38	16	3	0	102	4	0.156	213600	575616	364656
39	39	16	3	0	98	3	0.2055	492651	754782	588249
40	40	16	3	0	114	4	0.527	813241	2202019	1467768
41	41	16	3	0	89	3	0.2902	1360907	973782	807074
42	42	16	3	0	102	3	0.3552	810171	1338836	1040032
43	43	16	3	0	90	3	0.1606	530134	532794	441856
44	44	16	3	0	96	3	0.1809	282683	684513	537263
45	45	16	3	0	104	4	0.1318	290711	467432	399259
