row	seed	threads	draw	outcome	moves	states	time	passes
1	239478	4	1	0	101	230600	0.646019	1
2	240315	4	1	0	111	95904	0.31008	1
3	241152	4	1	0	110	1695020	4.31114	1
4	241989	4	1	2	0	272913	0.937713	-1
5	242826	4	1	0	107	3780744	7.30254	1
6	243663	4	1	2	0	2972	0.119206	-1
7	244500	4	1	0	106	94892	0.328461	1
8	245337	4	1	2	0	1678	0.119429	-1
9	246174	4	1	2	0	1193306	3.46662	-1
10	247011	4	1	2	0	3139	0.124356	-1
11	247848	4	1	2	0	692	0.116623	-1
12	248685	4	1	2	0	70352	0.363886	-1
13	249522	4	1	2	0	21416	0.130721	-1
14	250359	4	1	2	0	21363	0.130924	-1
15	251196	4	1	2	0	3856334	9.7378	-1
16	252033	4	1	2	0	26942	0.163842	-1
17	252870	4	1	2	0	5933	0.122208	-1
18	253707	4	1	2	0	76398	0.277918	-1
19	254544	4	1	2	0	979607	2.81114	-1
20	255381	4	1	2	0	2185	0.116784	-1
21	256218	4	1	0	100	109114	0.3533	1
22	257055	4	1	2	0	134974	0.497883	-1
23	257892	4	1	2	0	675	0.117383	-1
24	258729	4	1	2	0	1552731	3.5041	-1
25	259566	4	1	2	0	50498	0.226148	-1
26	260403	4	1	2	0	3381799	7.02547	-1
27	261240	4	1	2	0	1614	0.120361	-1
28	262077	4	1	2	0	17271	0.12181	-1
29	262914	4	1	2	0	240	0.113514	-1
30	263751	4	1	2	0	56559	0.228259	-1
31	264588	4	1	2	0	375554	1.24577	-1
32	265425	4	1	2	0	278	0.117182	-1
33	266262	4	1	2	0	1661	0.116406	-1
34	267099	4	1	2	0	30220	0.154769	-1
35	267936	4	1	2	0	478440	1.3545	-1
36	268773	4	1	0	97	990771	2.47285	1
37	269610	4	1	2	0	198813	0.593744	-1
38	270447	4	1	2	0	12866	0.125715	-1
39	271284	4	1	2	0	50397	0.228763	-1
40	272121	4	1	0	102	1228051	2.80196	1
41	272958	4	1	2	0	105	0.118318	-1
42	273795	4	1	2	0	233245	0.721276	-1
43	274632	4	1	2	0	43324	0.225655	-1
44	275469	4	1	0	96	868575	2.01482	1
45	276306	4	1	2	0	47763	0.20668	-1
46	277143	4	1	2	0	33569	0.161101	-1
47	277980	4	1	2	0	5314	0.120459	-1
48	278817	4	1	2	0	1444525	3.60225	-1
49	279654	4	1	2	0	120064	0.444199	-1
50	280491	4	1	2	0	23521	0.13867	-1
51	281328	4	1	0	103	1983942	3.89058	1
52	282165	4	1	2	0	81679	0.310789	-1
53	283002	4	1	0	106	2482845	4.71461	1
54	283839	4	1	2	0	16913	0.123148	-1
55	284676	4	1	0	99	301016	0.796097	1
56	285513	4	1	2	0	5095196	9.42121	-1
57	286350	4	1	2	0	2209	0.12196	-1
58	287187	4	1	0	93	2106941	3.95859	1
59	288024	4	1	2	0	45641	0.217409	-1
60	288861	4	1	2	0	1251	0.117571	-1
61	289698	4	1	2	0	2776951	6.249	-1
62	290535	4	1	2	0	4159	0.119775	-1
63	291372	4	1	2	0	5925	0.123502	-1
64	292209	4	1	0	102	90279	0.354793	1
65	293046	4	1	2	0	17187822	34.0844	-1
66	293883	4	1	2	0	19823	0.129664	-1
67	294720	4	1	0	111	440859	1.20848	1
68	295557	4	1	2	0	411527	1.15467	-1
69	296394	4	1	0	96	467435	1.35666	1
70	297231	4	1	0	110	371901	1.11534	1
71	298068	4	1	2	0	517	0.116949	-1
72	298905	4	1	2	0	80	0.118423	-1
73	299742	4	1	2	0	66638	0.269174	-1
74	300579	4	1	2	0	3728	0.12055	-1
75	301416	4	1	2	0	928482	2.28581	-1
76	302253	4	1	0	112	108292	0.358626	1
77	303090	4	1	0	116	57676	0.230956	1
78	303927	4	1	2	0	180446	0.475928	-1
79	304764	4	1	2	0	159685	0.55257	-1
80	305601	4	1	2	0	2350	0.120301	-1
81	306438	4	1	2	0	78938	0.310011	-1
82	307275	4	1	2	0	38581	0.213163	-1
83	308112	4	1	2	0	5107	0.124263	-1
84	308949	4	1	0	103	550440	1.59106	1
85	309786	4	1	2	0	160833	0.557566	-1
86	310623	4	1	2	0	881221	2.37851	-1
87	311460	4	1	2	0	12699	0.124102	-1
88	312297	4	1	2	0	34875	0.169066	-1
89	313134	4	1	0	105	215150	0.659649	1
90	313971	4	1	2	0	847	0.116194	-1
91	314808	4	1	2	0	2119	0.116974	-1
92	315645	4	1	2	0	103611	0.384408	-1
93	316482	4	1	2	0	3090	0.117095	-1
94	317319	4	1	2	0	1031	0.119637	-1
95	318156	4	1	0	104	449618	1.27598	1
96	318993	4	1	2	0	45815	0.206714	-1
97	319830	4	1	2	0	18311	0.12389	-1
98	320667	4	1	0	99	360153	0.907114	1
99	321504	4	1	2	0	185221	0.602172	-1
100	322341	4	1	2	0	730	0.117779	-1
101	323178	4	1	2	0	3109	0.118406	-1
102	324015	4	1	2	0	74074	0.299191	-1
103	324852	4	1	2	0	38966	0.179698	-1
104	325689	4	1	2	0	2091	0.123334	-1
105	326526	4	1	2	0	6722	0.120398	-1
106	327363	4	1	0	110	1080020	2.80413	1
107	328200	4	1	0	111	1165354	2.88266	1
108	329037	4	1	0	106	127074	0.41295	1
109	329874	4	1	2	0	68858	0.275741	-1
110	330711	4	1	2	0	26350	0.152137	-1
111	331548	4	1	2	0	21988	0.126964	-1
112	332385	4	1	2	0	45533	0.206347	-1
113	333222	4	1	2	0	28972	0.161529	-1
114	334059	4	1	0	94	253009	0.579201	1
115	334896	4	1	2	0	51890	0.197229	-1
116	335733	4	1	2	0	2546	0.120309	-1
117	336570	4	1	2	0	98401	0.37703	-1
118	337407	4	1	2	0	27561	0.149796	-1
119	338244	4	1	2	0	46781	0.184438	-1
120	339081	4	1	2	0	63394	0.261535	-1
121	339918	4	1	2	0	3952807	7.74803	-1
122	340755	4	1	2	0	3953	0.118799	-1
123	341592	4	1	2	0	111500	0.425274	-1
124	342429	4	1	0	116	3341484	7.05648	1
125	343266	4	1	2	0	2474	0.120826	-1
126	344103	4	1	2	0	141925	0.519763	-1
127	344940	4	1	2	0	4500	0.118544	-1
128	345777	4	1	0	102	251900	0.838713	1
129	346614	4	1	0	107	9732668	14.8818	1
130	347451	4	1	0	105	1356059	3.09938	1
131	348288	4	1	2	0	483142	1.39992	-1
132	349125	4	1	0	109	3185407	7.31847	1
133	349962	4	1	2	0	111189	0.36224	-1
134	350799	4	1	2	0	6476576	13.0524	-1
135	351636	4	1	0	107	143899	0.48228	1
136	352473	4	1	2	0	14112	0.127678	-1
137	353310	4	1	0	103	339931	0.977979	1
138	354147	4	1	2	0	172800	0.581809	-1
139	354984	4	1	2	0	211267	0.660954	-1
140	355821	4	1	2	0	10527	0.119233	-1
141	356658	4	1	0	99	2884379	5.29552	1
142	357495	4	1	0	99	1212672	2.52777	1
143	358332	4	1	2	0	1266754	3.0795	-1
144	359169	4	1	2	0	1257	0.117512	-1
145	360006	4	1	2	0	467	0.11861	-1
146	360843	4	1	2	0	4472	0.118182	-1
